user_id,topic1_id,topic2_id,topic3_id,topic4_id,select_time,select_status
20182384,2022wl005,2022wl054,2022wl003,2022wl015,2021/11/11,1
20182384,2022wl055,2022wl056,2022wl045,2022wl058,2021/11/16,2
20182385,2022wl023,2022wl017,2022wl040,2022wl034,2021/11/11,1
20182386,2022wl036,2022wl051,2022wl005,2022wl044,2021/11/11,1
20182387,2022wl002,2022wl001,2022wl003,2022wl051,2021/11/11,1
20182387,2022wl057,2022wl058,2022wl012,2022wl031,2021/11/16,2
20182388,2022wl013,2022wl017,2022wl008,2022wl036,2021/11/11,1
20182389,2022wl019,2022wl046,2022wl048,2022wl007,2021/11/11,1
20182390,2022wl060,2022wl039,2022wl040,2022wl033,2021/11/11,1
20182391,2022wl010,2022wl042,2022wl037,2022wl036,2021/11/11,1
20182392,2022wl014,2022wl054,2022wl051,2022wl008,2021/11/11,1
20182393,2022wl020,2022wl022,2022wl040,2022wl044,2021/11/11,1
20182394,2022wl054,2022wl040,2022wl033,2022wl051,2021/11/11,1
20182395,2022wl051,2022wl053,2022wl052,2022wl023,2021/11/11,1
20182395,2022wl057,2022wl059,2022wl050,2022wl055,2021/11/16,2
20182396,2022wl040,2022wl003,2022wl054,2022wl036,2021/11/11,1
20182397,2022wl039,2022wl023,2022wl003,2022wl036,2021/11/11,1
20182397,2022wl024,2022wl043,2022wl035,2022wl037,2021/11/16,2
20182398,2022wl039,2022wl040,2022wl003,2022wl052,2021/11/11,1
20182398,2022wl058,2022wl059,2022wl007,2022wl012,2021/11/17,2
20182399,2022wl001,2022wl047,2022wl003,2022wl061,2021/11/11,1
20182400,2022wl017,2022wl022,2022wl040,2022wl053,2021/11/11,1
20182401,2022wl005,2022wl004,2022wl022,2022wl037,2021/11/11,1
20182402,2022wl023,2022wl040,2022wl041,2022wl034,2021/11/11,1
20182402,2022wl021,2022wl024,2022wl035,2022wl059,2021/11/16,2
20182403,2022wl040,2022wl022,2022wl054,2022wl039,2021/11/11,1
20182403,2022wl045,2022wl058,2022wl024,2022wl037,2021/11/16,2
20182404,2022wl039,2022wl022,2022wl023,2022wl053,2021/11/11,1
20182404,2022wl024,2022wl047,2022wl050,2022wl059,2021/11/16,2
20182405,2022wl022,2022wl051,2022wl039,2022wl041,2021/11/11,1
20182405,2022wl035,2022wl021,2022wl046,2022wl045,2021/11/16,2
20182406,2022wl015,2022wl008,2022wl027,2022wl037,2021/11/11,1
20182407,2022wl061,2022wl053,2022wl054,2022wl051,2021/11/11,1
20182407,2022wl021,2022wl012,2022wl007,2022wl009,2021/11/16,2
20182408,2022wl017,2022wl023,2022wl040,2022wl054,2021/11/11,1
20182408,2022wl012,2022wl045,2022wl024,2022wl049,2021/11/16,2
20182410,2022wl005,2022wl040,2022wl053,2022wl039,2021/11/11,1
20182410,2022wl031,2022wl030,2022wl029,2022wl028,2021/11/16,2
20182411,2022wl033,2022wl023,2022wl022,2022wl039,2021/11/11,1
20182411,2022wl046,2022wl024,2022wl037,2022wl035,2021/11/16,2
20182412,2022wl039,2022wl040,2022wl041,2022wl051,2021/11/11,1
